Date,Open,High,Low,Close,Volume,Market Cap
20-Nov-16,65.29,67.63,60.27,60.27,"598,211","3,632,640"
19-Nov-16,71.12,72,64.63,65.7,"822,655","3,622,130"
18-Nov-16,87.33,88.84,70.47,70.64,"1,032,890","4,064,910"
17-Nov-16,97.48,100.42,85.39,87.64,"915,597","4,107,780"
16-Nov-16,109.71,115.62,96.92,96.95,"1,443,840","4,190,380"
15-Nov-16,105.16,131.22,97.43,109.34,"2,030,660","3,600,530"
14-Nov-16,117.55,117.82,97.18,105.06,"1,418,260","3,594,280"
13-Nov-16,143.17,146.23,117.26,117.26,"1,401,920","3,875,970"
12-Nov-16,183.02,189.54,144.11,144.11,"1,167,540","4,372,390"
11-Nov-16,224.67,226.17,183.24,183.36,"1,173,130","4,667,530"
10-Nov-16,254.94,257.49,224.83,226.17,"1,255,400","4,580,450"
9-Nov-16,331.69,374.12,222.51,255.58,"3,706,020","5,098,610"
8-Nov-16,233.78,308.64,178.98,308.64,"2,578,200","3,035,070"
7-Nov-16,319.23,345.94,236,236,"1,808,930","3,436,850"
6-Nov-16,504.27,507.5,320.54,321.79,"2,390,590","4,422,370"
5-Nov-16,599.52,634,501.69,504.57,"1,984,150","4,167,660"
4-Nov-16,887.66,889.8,601.84,603.98,"2,469,390","4,734,940"
3-Nov-16,940.66,1067.59,863.81,887.26,"2,783,300","3,728,630"
2-Nov-16,1326.29,1409.07,872.41,942.78,"3,936,160","3,701,650"
1-Nov-16,1599.72,2027.05,1189.33,1333.74,"4,802,060","2,895,110"
31-Oct-16,570.91,2217.64,472.73,1624.58,"4,333,820","593,240"
30-Oct-16,2014.38,2028.46,504.54,574.82,"1,009,210","959,342"
29-Oct-16,4293.37,5941.8,2006.47,2044.47,"2,532,790","1,383,590"
